dataset,method,n_train,n_proto,cpu_seconds,blas_threads
spambase,SPINE,3677.6,1109.4,51.054163600000905,1
spambase,SPOT,3677.6,1109.4,0.3345776000031037,1
texture,GLVQ,4400.0,807.2,71.0352509999997,1
texture,GNG,4400.0,807.2,7.161617799996748,1
texture,KMeans,4400.0,807.2,0.34346000000368804,1
texture,LVQ3,4400.0,807.2,6.163023199999588,1
texture,RHC,4400.0,250.2,0.057524000003468245,1
texture,RSP3,4400.0,807.2,0.24147979999834207,1
texture,SPINE,4400.0,807.2,7.174753400002373,1
texture,SPOT,4400.0,807.2,0.5487974000017857,1
twonorm,GLVQ,5920.0,920.6,108.154175199999,1
twonorm,GNG,5920.0,920.6,48.89165240000002,1
twonorm,KMeans,5920.0,920.6,1.4493393999990076,1
twonorm,LVQ3,5920.0,920.6,5.380341799999587,1
twonorm,RHC,5920.0,191.0,0.08535380000248552,1
twonorm,RSP3,5920.0,920.6,0.3013549999974202,1
twonorm,SPINE,5920.0,920.6,39.25579140000336,1
twonorm,SPOT,5920.0,920.6,0.7262446000007913,1
waveform,GLVQ,4000.0,2280.2,179.843116800001,1
waveform,GNG,4000.0,2280.2,164.47478160000173,1
waveform,KMeans,4000.0,2280.2,2.787166000000434,1
waveform,LVQ3,4000.0,2280.2,16.322035600000525,1
waveform,RHC,4000.0,340.0,0.12009760000219102,1
waveform,RSP3,4000.0,2280.2,0.1882742000016151,1
waveform,SPINE,4000.0,2280.2,103.1305011999968,1
waveform,SPOT,4000.0,2280.2,0.4234424000023864,1
wdbc,GLVQ,455.2,78.6,0.838687399995979,1
wdbc,GNG,455.2,78.6,0.5049375999980839,1
wdbc,KMeans,455.2,78.6,0.031597399996826425,1
wdbc,LVQ3,455.2,78.6,0.11010779999778605,1
wdbc,RHC,455.2,32.2,0.01067719999991823,1
wdbc,RSP3,455.2,78.6,0.005119200001354329,1
wdbc,SPINE,455.2,78.6,0.32627359999751204,1
wdbc,SPOT,455.2,78.6,0.016412399997352622,1
wine,GLVQ,142.4,33.8,0.13689099999901372,1
wine,GNG,142.4,33.8,0.10927340000343974,1
wine,KMeans,142.4,33.8,0.010568400003830903,1
wine,LVQ3,142.4,33.8,0.026175400006468407,1
wine,RHC,142.4,7.6,0.0018452000018442049,1
wine,RSP3,142.4,33.8,0.0011546000052476302,1
wine,SPINE,142.4,33.8,0.06829980000038631,1
wine,SPOT,142.4,33.8,0.004040399999939837,1
