acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,dataset,method,n_folds,n_proto,reduction,shared_build,swept
0.8758490566037735,24.0,False,0.005031446540880503,0.005,banana,Full,10,4770.0,0.0,False,False
0.859056603773585,24.0,False,0.005031446540880503,0.005,banana,GLVQ,10,24.0,0.9949685534591197,False,True
0.8766037735849057,24.0,False,0.005031446540880503,0.005,banana,GNG,10,24.0,0.9949685534591197,False,True
0.8771698113207547,24.0,False,0.005031446540880503,0.005,banana,KMeans,10,24.0,0.9949685534591197,False,True
0.899811320754717,24.0,False,0.005031446540880503,0.005,banana,LVQ3,10,24.0,0.9949685534591197,False,True
0.8339622641509437,24.0,False,0.005031446540880503,0.005,banana,RHC,10,975.5,0.7954926624737946,False,False
0.8454716981132077,24.0,False,0.005031446540880503,0.005,banana,RSP3,10,1177.4,0.7531656184486373,False,False
0.7683018867924528,24.0,False,0.005031446540880503,0.005,banana,Random,10,24.0,0.9949685534591197,False,True
0.8439622641509434,24.0,False,0.005031446540880503,0.005,banana,SPINE+1NN,10,24.0,0.9949685534591197,False,True
0.8996226415094342,24.0,False,0.005031446540880503,0.005,banana,SPINE+Graph,10,24.0,0.9949685534591197,False,True
0.8462264150943396,24.0,False,0.005031446540880503,0.005,banana,SPOT,10,24.0,0.9949685534591197,False,True
0.8758490566037735,48.0,False,0.010062893081761006,0.01,banana,Full,10,4770.0,0.0,True,False
0.8605660377358492,48.0,False,0.010062893081761006,0.01,banana,GLVQ,10,48.0,0.989937106918239,False,True
0.8913207547169811,48.0,False,0.010062893081761006,0.01,banana,GNG,10,48.0,0.989937106918239,False,True
0.8977358490566039,48.0,False,0.010062893081761006,0.01,banana,KMeans,10,48.0,0.989937106918239,False,True
0.8973584905660376,48.0,False,0.010062893081761006,0.01,banana,LVQ3,10,48.0,0.989937106918239,False,True
0.8339622641509437,48.0,False,0.010062893081761006,0.01,banana,RHC,10,975.5,0.7954926624737946,True,False
0.8454716981132077,48.0,False,0.010062893081761006,0.01,banana,RSP3,10,1177.4,0.7531656184486373,True,False
0.8158490566037736,48.0,False,0.010062893081761006,0.01,banana,Random,10,48.0,0.989937106918239,False,True
0.8973584905660378,48.0,False,0.010062893081761006,0.01,banana,SPINE+1NN,10,48.0,0.989937106918239,False,True
0.901509433962264,48.0,False,0.010062893081761006,0.01,banana,SPINE+Graph,10,48.0,0.989937106918239,False,True
0.8518867924528303,48.0,False,0.010062893081761006,0.01,banana,SPOT,10,48.0,0.989937106918239,False,True
