dataset,Full,GLVQ,GNG,KMeans,LVQ3,RHC,RSP3,Random,SPINE+1NN,SPINE+Graph,SPOT
banana,8.61000001350404e-05,156.1131258999998,88.29347759999955,2.1057827000001454,81.26949539999978,0.4370123999997304,0.34867389999999426,0.0006523999999444101,75.12701189999999,75.12701189999999,1.4605664000000615
eeg-eye-state,0.00050019999980572,2269.439591199999,3108.2809822000027,33.26931929999846,2005.4403855000019,1.562473500001215,10.704320000001463,0.00487659999707825,10298.7902593,10298.7902593,29.622929700001258
ionosphere,2.519999998185085e-05,1.0164326000001893,1.0427294999997685,0.06187609999979027,2.512842200000705,0.01764400000010932,0.00869239999992709,0.0001354999998511444,0.4343748000002961,0.4343748000002961,0.01288250000015973
letter,0.00059759999995789,3428.0133196999996,253.31391519999988,6.163305299999974,3971.6771590000003,0.7153142999999318,8.882520399999958,0.0016504000000054,460.7337233,460.7337233,71.70800120000004
magic,0.00039720000049744,3191.3077284000015,3978.3811522999995,37.45231810000023,1961.3430348000024,1.367477899998812,11.206435600000155,0.0017903999982081,28315.442451699997,28315.442451699997,19.72031200000056
penbased,0.0001721999986329779,297.3036431000015,18.411206400002992,1.1853175999960512,249.9930051999996,0.13443930000066753,1.7085394000008818,0.00058829999761651,27.98099790000124,27.98099790000124,3.0368464000028323
phoneme,9.77000000602582e-05,192.2646009000001,144.26433209999996,2.8017117000001237,114.19168270000009,0.42903660000010857,0.42296660000001796,0.00049560000015839,181.59570189999994,181.59570189999994,1.2535161000000699
ring,0.000217899996911371,541.4522239999999,632.9865310000005,7.038891299998204,573.264561900001,0.36915429999927485,0.8750308000006697,0.0008749999990640999,776.0267835000004,776.0267835000004,1.7887596000002532
satimage,0.0005189000000882,258.3388781000003,65.98980639999999,2.0627185000000283,517.0702320999999,0.26239840000007464,0.7113352999998824,0.00078000000003154,64.11543740000002,64.11543740000002,1.6026867999999923
segment,7.180000011430753e-05,24.51519930000031,4.028055099999619,0.2559040000003733,30.40406559999901,0.06937519999992214,0.2069533999998384,0.00026600000019239,3.3440838999997142,3.3440838999997142,0.2846294999999372
sonar,1.0900000233959872e-05,0.5617726000000403,0.8294946999996682,0.04658299999937295,1.8279123000002073,0.01231630000002037,0.0047401999998327995,0.0001328999996985416,0.2788861999999426,0.2788861999999426,0.00983319999995725
spambase,0.00071709999992887,152.0025844,35.199034500000195,3.2608298000001015,417.91121879999974,0.31327039999978296,1.3540783000000374,0.00099440000030877,128.58779399999966,128.58779399999966,0.7426989999994476
texture,0.00045320000017449997,124.20220079999999,12.592123900000207,0.717838699999902,273.81513239999987,0.11449639999982533,0.6032084000000395,0.0005470000000059,14.187751899999967,14.187751899999967,1.1744972999998027
twonorm,0.00016680000005530335,193.39432190000002,92.81585740000003,2.632707000000012,217.1338338,0.178797599999973,0.7155804000000177,0.00070750000008382,99.225777,99.225777,1.6505815999999753
waveform,0.00021800000004073002,333.02214250000014,370.87576750000005,5.213758099999723,753.2188525000004,0.25885049999997134,0.4477222000000438,0.00146349999995432,284.8703774000002,284.8703774000002,0.859690099999898
wdbc,2.029999996011611e-05,1.5741805999999996,1.015635200000179,0.06250939999990801,3.3641203999994103,0.01861270000008515,0.010158100000444351,0.00015030000013208555,0.5666118999999525,0.5666118999999525,0.02846200000039966
wine,1.2599999899975956e-05,0.2382290000001376,0.19892390000004523,0.01819910000012892,0.7043225000001258,0.00293119999987533,0.00219779999970336,9.570000020175476e-05,0.10824969999994205,0.10824969999994205,0.00750610000013688
