method,avg_rank
SPINE+1NN,2.7941176470588234
LVQ3,2.823529411764706
GNG,3.0588235294117645
KMeans,4.5588235294117645
RSP3,4.882352941176471
SPOT,5.117647058823529
GLVQ,5.9411764705882355
Random,6.823529411764706
