# metric = acc_1nn
# control = SPINE+1NN (ablation battery)
# control average rank = 2.7941
# blocks N = 17 datasets, treatments k = 8
# roster = SPINE+1NN, RSP3, KMeans, Random, LVQ3, SPOT, GLVQ, GNG
# Friedman chi2 = 44.9368, df = 7, p = 1.40681e-07, significant = True
# comparisons = 7 (Holm across exactly these, both families)
# alpha = 0.05
# Wilcoxon signed-rank, method=exact; scipy 1.18.0
# families agree on the significant set = True
method,wins,losses,ties,n_used,n_abs_ties,statistic,p_raw,p_holm,significant,conover_raw,conover_holm,conover_significant,mean_delta,median_delta,average_rank
RSP3,13,4,0,17,0,22.0,0.007904052734375,0.03326416015625,True,0.0027545953514165077,0.011018381405666031,True,0.01651054093977858,0.014613199151092049,4.882352941176471
KMeans,12,4,1,16,0,18.0,0.00762939453125,0.03326416015625,True,0.01094816456465591,0.03284449369396773,True,0.020294418164875577,0.008267026617410078,4.5588235294117645
Random,17,0,0,17,0,0.0,1.52587890625e-05,0.0001068115234375,True,3.7939720855499086e-08,2.655780459884936e-07,True,0.03700544783913663,0.03464619492656873,6.823529411764706
LVQ3,10,7,0,17,0,45.0,0.1454315185546875,0.290863037109375,False,0.9656790671022039,1.0,False,0.006480165953228175,0.0030495257926266284,2.823529411764706
SPOT,13,4,0,17,0,21.0,0.00665283203125,0.03326416015625,True,0.0009136181645982777,0.004568090822991388,True,0.017595626785041993,0.016784924132169365,5.117647058823529
GLVQ,14,3,0,17,0,11.0,0.0008392333984375,0.005035400390625,True,1.0560431691998631e-05,6.336259015199179e-05,True,0.05369289684431126,0.04339503697826397,5.9411764705882355
GNG,9,8,0,17,0,53.0,0.2841644287109375,0.290863037109375,False,0.6986634917321393,1.0,False,0.024706314222519093,0.00043290043290056257,3.0588235294117645
