# metric = acc_1nn
# control = SPINE+Graph (reported battery)
# control average rank = 2.4412
# blocks N = 17 datasets, treatments k = 8
# roster = SPINE+Graph, RSP3, KMeans, Random, LVQ3, SPOT, GLVQ, GNG
# Friedman chi2 = 47.5439, df = 7, p = 4.37155e-08, significant = True
# comparisons = 7 (Holm across exactly these, both families)
# alpha = 0.05
# Wilcoxon signed-rank, method=exact; scipy 1.18.0
# families agree on the significant set = True
method,wins,losses,ties,n_used,n_abs_ties,statistic,p_raw,p_holm,significant,conover_raw,conover_holm,conover_significant,mean_delta,median_delta,average_rank
RSP3,14,3,0,17,0,15.0,0.0020904541015625,0.00836181640625,True,0.000300275537171039,0.001201102148684156,True,0.01956328572402421,0.018571428571428572,4.9411764705882355
KMeans,13,3,1,16,0,14.0,0.00335693359375,0.01007080078125,True,0.001529591009512723,0.004588773028538169,True,0.02334716294912121,0.011646813171767079,4.617647058823529
Random,17,0,0,17,0,0.0,1.52587890625e-05,0.0001068115234375,True,1.888149863707976e-09,1.3217049045955833e-08,True,0.04005819262338226,0.03731642189586115,6.823529411764706
LVQ3,12,5,0,17,0,31.0,0.030517578125,0.06103515625,False,0.45700697320928596,0.6295388697756583,False,0.009532910737473806,0.007578558225508347,2.9411764705882355
SPOT,14,3,0,17,0,10.0,0.0006561279296875,0.003936767578125,True,8.368227882532346e-05,0.0004184113941266173,True,0.020648371569287626,0.02513513513513499,5.176470588235294
GLVQ,14,3,0,17,0,10.0,0.0006561279296875,0.003936767578125,True,8.154609064403338e-07,4.892765438642003e-06,True,0.05674564162855689,0.043668427670324306,5.9411764705882355
GNG,10,7,0,17,0,39.0,0.079681396484375,0.079681396484375,False,0.31476943488782916,0.6295388697756583,False,0.027759059006764727,0.00332648730060936,3.1176470588235294
