method,avg_rank
SPINE+Graph,2.4411764705882355
LVQ3,2.9411764705882355
GNG,3.1176470588235294
KMeans,4.617647058823529
RSP3,4.9411764705882355
SPOT,5.176470588235294
GLVQ,5.9411764705882355
Random,6.823529411764706
